"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGOS";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADOS";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB005692018";"18/09/2018";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"REAL TIME BIG DATA";"Governador, Senador";"21/09/2018";"22/09/2018";"1000";"7655";"Augusto da Silva Rocha";"15000,00";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"#NULO#";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"Pesquisa quantitativa, que consiste na realização de entrevistas por telefone, com a aplicação de questionário estruturado junto a uma amostra, representativa do eleitorado em estudo.";"Universo: 2.867.649 eleitores (TSE). Amostra: 1000 entrevistas. Nível de Confiança: 95%. Margem de Erro: até 3 pontos percentuais para mais ou para menos. Divisão Censitária. Ponderação quanto ao sexo e faixa etária: Masculino de 16 a 24 anos (8,2%), Masculino de 25 a 34 anos (10,5%), Masculino de 35 a 44 anos (9,9%), Masculino de 45 a 59 anos (10,8%) e Masculino acima de 59 anos (7,6%). Feminino de 16 a 24 anos (8,5%), Feminino de 25 a 34 anos (11,4%), Feminino de 35 a 44 anos (10,9%), Feminino de 45 a 59 anos (12,5%) e Feminino acima de 59 anos (9,6%). Ponderação quanto ao nível de instrução: 32% de Analfabeto / Fundamental Incompleto, 21% de Lê e escreve / Fundamental Completo, 33% de Médio Incompleto / Médio Completo e 14% de Superior Incompleto / Superior Completo. Ponderação quanto a distribuição por renda mensal domiciliar: 38% até 1 SM, 29% de 1 até 2 SM, 23% de 2 até 5 SM, 6% de 5 até 10 SM e 4% acima de 10 SM.";"Checagem de cerca de 20% da amostra efetuada pelos supervisores. Todos os entrevistadores foram amplamente treinados e orientados tanto teoricamente quanto praticamente sobre suas responsabilidade e funções, respeitando as cotas pré-estabelecidas. A equipe está dividida em coordenadoria-geral / supervisores / entrevistadores.";"Em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB017172018";"27/09/2018";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"REAL TIME BIG DATA";"Governador, Senador";"02/10/2018";"02/10/2018";"1200";"7655";"Augusto da Silva Rocha";"15000,00";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"#NULO#";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"Pesquisa quantitativa, que consiste na realização de entrevistas por telefone, com a aplicação de questionário estruturado junto a uma amostra, representativa do eleitorado em estudo.";"Universo: 2.867.649 eleitores (TSE). Amostra: 1200 entrevistas. Nível de Confiança: 95%. Margem de Erro: até 3 pontos percentuais para mais ou para menos. Divisão Censitária. Ponderação quanto ao sexo e faixa etária: Masculino de 16 a 24 anos (8,2%), Masculino de 25 a 34 anos (10,5%), Masculino de 35 a 44 anos (9,9%), Masculino de 45 a 59 anos (10,8%) e Masculino acima de 59 anos (7,6%). Feminino de 16 a 24 anos (8,5%), Feminino de 25 a 34 anos (11,4%), Feminino de 35 a 44 anos (10,9%), Feminino de 45 a 59 anos (12,5%) e Feminino acima de 59 anos (9,6%). Ponderação quanto ao nível de instrução: 32% de Analfabeto / Fundamental Incompleto, 21% de Lê e escreve / Fundamental Completo, 33% de Médio Incompleto / Médio Completo e 14% de Superior Incompleto / Superior Completo. Ponderação quanto a distribuição por renda mensal domiciliar: 38% até 1 SM, 29% de 1 até 2 SM, 23% de 2 até 5 SM, 6% de 5 até 10 SM e 4% acima de 10 SM. FONTE DOS DADOS: IBGE | TSE 2018";"Checagem de cerca de 20% da amostra efetuada pelos supervisores. Todos os entrevistadores foram amplamente treinados e orientados tanto teoricamente quanto praticamente sobre suas responsabilidade e funções, respeitando as cotas pré-estabelecidas. A equipe está dividida em coordenadoria-geral / supervisores / entrevistadores.";"Em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB026422018";"12/09/2018";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"METODO PESQUISA E CONSULTORIA LTDA";"Senador, Governador";"12/09/2018";"15/09/2018";"1100";"8431 - CONRE 5";"Ulisses Montarroyos";"27831,33";"09111832000150";"JORNAL CORREIO DA PARAIBA LTDA";"Recursos Próprios";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, domiciliares, com a aplicação de questionários estruturados junto a uma amostra representativa do eleitorado do Estado da Paraíba.";"Universo: Eleitorado do Estado da Paraíba, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.100 entrevistas. Técnica de amostragem: Amostra representativa dos eleitores do estado da Paraíba, elaborada em três estágios: no primeiro estágio, são sorteados os municípios que farão parte do levantamento, baseado nas regiões imediatas e intermediárias do IBGE. No segundo estágio, são sorteados os bairros onde serão aplicadas as entrevistas. Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas a seguir:    a) IDADE: 16 a 24 anos (masculino - 24%. feminino ¿ 22%), 25 a 39 anos (masculino - 33%. feminino ¿ 32%), 40 a 59 anos (masculino - 28%. feminino ¿ 29%), 60 e + anos (masculino - 15%. feminino ¿ 18%).    b) INSTRUÇÃO: até Ensino Fundamental 53%, Ensino Médio 33%  e Ensino Superior 14%.     c) NÍVEL ECONÔMICO: Até 1 salário mínimo 82%, mais de 1 salário mínimo até 2 salários mínimos 10% e mais de dois salários mínimos 8%.    Está prevista eventual ponderação para correção das variáveis com base nos percentuais anteriormente mencionados, caso ocorra diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada.     Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE - Tribunal Superior Eleitoral (eleitorado de junho 2018) e IBGE (Censo 2010). Área física: Serão realizadas entrevistas em 60 municípios, localizados no Estado da Paraíba. A relação completa dos municípios será disponibilizada até o sétimo dia seguinte ao registro da pesquisa.  Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.";"Para a realização da pesquisa utiliza-se uma equipe de entrevistadores e supervisores contratados pela Método Pesquisa e Consultoria LTDA, devidamente treinados para o trabalho. Após o trabalho de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado da Paraíba. A relação dos municípios será disponibilizada até o sétimo dia seguinte ao registro da pesquisa. "
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB034182018";"28/08/2018";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"METODO PESQUISA E CONSULTORIA LTDA";"Governador, Senador";"28/08/2018";"01/09/2018";"1100";"8431";"Ulisses Montarroyos";"27831,33";"09111832000150";"JORNAL CORREIO DA PARAIBA LTDA / ";"Recursos Próprios";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, domiciliares, com a aplicação de questionários estruturados junto a uma amostra representativa do eleitorado do Estado da Paraíba.";"Universo: Eleitorado do Estado da Paraíba, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.100 entrevistas. Técnica de amostragem: Amostra representativa dos eleitores do estado da Paraíba, elaborada em três estágios: no primeiro estágio, são sorteados os municípios que farão parte do levantamento, baseado nas regiões imediatas e intermediárias do IBGE. No segundo estágio, são sorteados os bairros onde serão aplicadas as entrevistas. Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas a seguir:    a) IDADE: 16 a 24 anos (masculino - 24%. feminino ¿ 22%), 25 a 39 anos (masculino - 33%. feminino ¿ 32%), 40 a 59 anos (masculino - 28%. feminino ¿ 29%), 60 e + anos (masculino - 15%. feminino ¿ 18%).    b) INSTRUÇÃO: até Ensino Fundamental 53%, Ensino Médio 33%  e Ensino Superior 14%.     c) NÍVEL ECONÔMICO: Até 1 salário mínimo 82%, mais de 1 salário mínimo até 2 salários mínimos 10% e mais de dois salários mínimos 8%.    Está prevista eventual ponderação para correção das variáveis com base nos percentuais anteriormente mencionados, caso ocorra diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada.     Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE - Tribunal Superior Eleitoral (eleitorado de junho 2018) e IBGE (Censo 2010). Área física: Serão realizadas entrevistas em 60 municípios, localizados no Estado da Paraíba. A relação completa dos municípios está em anexo, assim como o questionário e o material de apoio.  Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.  ";"Para a realização da pesquisa utiliza-se uma equipe de entrevistadores e supervisores contratados pela Método Pesquisa e Consultoria LTDA, devidamente treinados para o trabalho. Após o trabalho de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado da Paraíba. A relação dos municípios encontra-se em anexo. "
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB038532018";"08/08/2018";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"CONSULT PESQUISA";"Governador, Deputado Estadual, Deputado Federal, Senador";"08/08/2018";"12/08/2018";"2000";"Nº 7861  5ª região ";"Paulo de Tarso Teixeira Ferreira ";"25000,00";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"#NULO#";"04843093000177";"CONSULTORIA E PESQUISA TECNICA LTDA";"A Metodologia empregada  para  a  pesquisa segue a Técnica de  Observação  Direta, referente ao Método Quantitativo através da realização de survey de opinião, utilizando-se  como  instrumento  de  investigação   Formulário   Semiestruturado, para entrevistas individualizadas, domiciliares  e/ou locais preestabelecidos. O Universo da pesquisa é o conjunto da população do Estado da Paraíba com idades de 16 anos ou mais.";"Quanto ao Plano Amostral, foi utilizada uma Amostra Probabilística, Casual Simples de 2000 entrevistas, com a finalidade de cobertura geográfica no estado da Paraíba-PB, abrangendo 7 áreas geográficas, representadas por 69 municípios, em áreas urbanas e rurais, com partilha proporcional (Método estatístico PPT = Partilha Proporcional ao Tamanho) sobre o potencial eleitoral de cada uma das regiões. Foram realizadas entrevistas em 69 municípios, localizados nas seguintes regiões a PB: João Pessoa, Grande João Pessoa, Mata Paraibana, Campina Grande, Agreste Paraibano, Borborema, Sertão Paraibano. A relação completa dos municípios será encaminhada ao TSE, conforme a Resolução 23.549/2017 do TSE, no art. 2º Parágrafo 6º.      A Amostra é estratificada por regiões do estado e natureza dos municípios. Em cada estrato são sorteados os municípios que farão parte da representatividade da região. Na sequência a escolha do bairro/conglomerado, rua,  domicílio/local  pré-estabelecido e ponto amostral.      A Partilha, através de cotas, com relação as variáveis sexo, idades e Grau de Instrução seguem informações do TRE-PB, sendo 47% do eleitorado do sexo masculino, e 53% do sexo feminino, e sobre as idades, sendo 17% dos eleitores até 24 anos, 22% de 25 a 34 anos, 21% de 35 a 44 anos, 23% de 45 a 59 anos, e 17% com mais de 59 anos. Com relação a sexo e idade as ponderações devem seguir os percentuais apresentados.  Quanto a Grau de Instrução segue sobre 7.6% Analfabeto, 16.1% Lê e Escreve, 29.5% A Nível de Ensino Fundamental, 32.9% A Nível de Ensino Médio e 13.9% A Nível de Ensino Superior. A Ponderação para o Grau de Instrução ocorre sobre a coleta em campo com fator 1 (resultado obtido em campo).     Com relação ao Nível Econômico dos entrevistados, são Estimados por dados do IBGE (Critério Brasil), através dos valores do PNADC/2017, indicados a representarem aproximações dos valores que podem ser obtidos em amostras de Pesquisas de Opinião. A Ponderação para o Nível Econômico dos entrevistados, ocorre sobre a coleta em campo, sendo atingidos e identificados pela cobertura geográfica ampla da amostra, e pela Técnica de coleta de dados que é  de  Sorteios  Múltiplos   Aleatórios, (municípios/bairro/conglomerado, rua,  domicílio/local  pré-estabelecido,  ponto amostral), sobre  as regiões  e municípios definidos para a amostra.      Margem de Erro: O Erro Amostral máximo é de 2.0%, levando-se em consideração o tamanho da amostra, no uso do cálculo amostral pela proporção [estimador = p e (1-p)], usando variância máxima. Sobre as variáveis dos quesitos de interesse da pesquisa, esse erro deverá ser no máximo 2.0%, o que significa dizer que o percentual observado para as perguntas que representam o objetivo principal da pesquisa, pode variar para mais ou para menos em 2.0%, ou seja, um INTERVALO DE CONFIANÇA com esse percentual, tendo essa afirmação uma CONFIABILIDADE DE 95%.    ";"O sistema de controle interno ocorre a partir do início da etapa de campo, onde os entrevistadores, exclusivos do próprio Instituto, são treinados para cada pesquisa a ser realizada, são fiscalizados permanentemente por coordenadores de campo, e são realizadas abordagens pós-entrevistas (in loco), e visitas ou abordagem retorno sobre 15% da amostra. Internamente, são feitas críticas em todos os questionários, e são codificados. Em uma última etapa é verificado a consistência dos dados. ";"#NULO#"
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB041802018";"28/09/2018";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"METODO PESQUISA E CONSULTORIA LTDA";"Senador, Governador";"30/09/2018";"03/10/2018";"1100";"8431 - CONRE 5";"Ulisses Montarroyos";"27831,33";"09111832000150";"JORNAL CORREIO DA PARAIBA LTDA";"Recursos Próprios";"09219131000139";"METODO PESQUISA E CONSULTORIA LTDA - ME";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, domiciliares, com a aplicação de questionários estruturados junto a uma amostra representativa do eleitorado do Estado da Paraíba.";"Universo: Eleitorado do Estado da Paraíba, com 16 anos ou mais. Tamanho da amostra: A amostra prevista é de 1.100 entrevistas. Técnica de amostragem: Amostra representativa dos eleitores do estado da Paraíba, elaborada em três estágios: no primeiro estágio, são sorteados os municípios que farão parte do levantamento, baseado nas regiões imediatas e intermediárias do IBGE. No segundo estágio, são sorteados os bairros onde serão aplicadas as entrevistas. Por fim, os entrevistados são selecionados aleatoriamente para responder ao questionário, de acordo com cotas a seguir:    a) IDADE: 16 a 24 anos (masculino - 24%. feminino ¿ 22%), 25 a 39 anos (masculino - 33%. feminino ¿ 32%), 40 a 59 anos (masculino - 28%. feminino ¿ 29%), 60 e + anos (masculino - 15%. feminino ¿ 18%).    b) INSTRUÇÃO: até Ensino Fundamental 53%, Ensino Médio 33%  e Ensino Superior 14%.     c) NÍVEL ECONÔMICO: Até 1 salário mínimo 82%, mais de 1 salário mínimo até 2 salários mínimos 10% e mais de dois salários mínimos 8%.    Está prevista eventual ponderação para correção das variáveis com base nos percentuais anteriormente mencionados, caso ocorra diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada.     Os dados utilizados para definição e seleção da amostra são baseados nos dados fornecidos pelo TSE - Tribunal Superior Eleitoral (eleitorado de junho 2018) e IBGE (Censo 2010). Área física: Serão realizadas entrevistas em 60 municípios, localizados no Estado da Paraíba. A relação completa dos municípios será disponibilizada até o sétimo dia seguinte ao registro da pesquisa.  Margem de Erro: A margem de erro máxima prevista é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95%. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%.  ";"Para a realização da pesquisa utiliza-se uma equipe de entrevistadores e supervisores contratados pela Método Pesquisa e Consultoria LTDA, devidamente treinados para o trabalho. Após o trabalho de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.    ";"A área de abrangência da coleta é o estado da Paraíba. A relação dos municípios será disponibilizada até o sétimo dia seguinte ao registro da pesquisa.     "
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB043512018";"29/09/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"29/09/2018";"05/10/2018";"812";"6208-A";"Márcia Cavallari Nunes";"65569,00";"08584526000178";"TELEVISAO PARAIBA LTDA / TV PARAIBA";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado da Paraíba.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 20% (feminino) 20%. 25-34 (masculino) 25% (feminino) 23%. 35-44 (masculino) 21% (feminino) 21%. 45-54 (masculino) 16% (feminino) 16%. 55 e+ (masculino) 18% (feminino) 20%. INSTRUÇÃO: Até Ensino Médio (masculino) 84% (feminino) 81%. Ensino Superior (masculino) 16% (feminino) 19%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 68% (feminino) 44%. Não Economicamente ativo (masculino) 32% (feminino) 56%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03(três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.    ";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado da Paraíba. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE.    "
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB043512018";"29/09/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"29/09/2018";"05/10/2018";"812";"6208-A";"Márcia Cavallari Nunes";"65569,00";"08843575000188";"TELEVISAO CABO BRANCO LTDA / TV CABO BRANCO";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado da Paraíba.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 20% (feminino) 20%. 25-34 (masculino) 25% (feminino) 23%. 35-44 (masculino) 21% (feminino) 21%. 45-54 (masculino) 16% (feminino) 16%. 55 e+ (masculino) 18% (feminino) 20%. INSTRUÇÃO: Até Ensino Médio (masculino) 84% (feminino) 81%. Ensino Superior (masculino) 16% (feminino) 19%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 68% (feminino) 44%. Não Economicamente ativo (masculino) 32% (feminino) 56%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03(três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.    ";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado da Paraíba. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE.    "
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB059312018";"23/08/2018";"22469946000134";"JOSE ELIAS PEREIRA NETO 05661875401";"AC NORDESTE";"Governador, Deputado Estadual, Deputado Federal, Senador";"27/08/2018";"23/09/2018";"50000";"Não possui";"JOSE ELIAS PEREIRA NETO";"800,00";"22469946000134";"JOSE ELIAS PEREIRA NETO 05661875401";"#NULO#";"22469946000134";"JOSE ELIAS PEREIRA NETO 05661875401";"Se trata apenas de teste de um novo sistema que alunos de comunicação esta criando por orientação do TRE, o registro mais não tem fins politico apenas a sazonalidade que atribuiu.  ";"Por se tratar de um sistema novo que estaremos testando, e não será feito a entrevista pessoal apenas pelo sistema de aplicativo sendo aberto para todas as classes sócias, sexo grau de instrução ou nível econômico. Margem de erro por se tratar de um teste funcional doo sistema não será atribuído margem de erro apenas a funcionalidade interna dos estudantes.";"Todo controle e verificação, conferencia e fiscalização da coleta será tudo registrado no sistema interno do próprio aplicativo sem qualquer risco de fraude ou erro na contagem.";"Não existe delimitação de área o objetivo e o teste e exatamente atribuir todo os bairros e municípios do estado da Paraíba."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PB";"PB";"PARAÍBA";"PB075952018";"30/09/2018";"10340949000194";"OPINIAO PESQUISA E ASSESSORIA LTDA - ME";"INSTITUTO OPINIAO - PESQUISAS DE OPINIAO PUBLICA";"Senador, Governador";"02/10/2018";"04/10/2018";"1600";"7655";"Augusto da Silva Rocha";"45000,00";"10340949000194";"OPINIAO PESQUISA E ASSESSORIA LTDA - ME";"#NULO#";"10340949000194";"OPINIAO PESQUISA E ASSESSORIA LTDA - ME";"Pesquisa quantitativa, que consiste na realização de entrevistas com entrevistadores treinados pelo Instituto, com a aplicação de questionário estruturado junto a uma amostra representativa da população do estado da Paraíba.";"Para uma amostra de 1600 entrevistas, o intervalo de confiança da pesquisa foi de 95% e a margem de erro de 2,2 pontos percentuais. Foram consideradas as seguintes cotas para o universo: 1) Sexo: masculino 47,1% e feminino 52,9%. 2) Idade: 16 a 24 anos 16,8%, 25 a 34 anos 22%, 35 a 44 anos 20,8%, 45 a 59 anos 23,3% e 60 anos ou mais 17,2%. Escolaridade:  Até  1º.Grau Incompleto  48,4%,   1º.Grau Completo até 2º. Grau Incompleto  16,6%,   2º.Grau Completo até Superior Incompleto 26,4% ,   Superior Completo   8,6%   Renda:  até 1 salário mínimo 38,1%,  de 1 a 2  salários mínimos 28,9%, de 2 a 5  salários mínimos   22,7%, e mais de 5  salários mínimos    mínimos   10,4%. Fonte: TSE jul 2018 e IBGE";"Todas as entrevistas serão realizadas por entrevistadores do quadro próprio da empresa, devidamente identificados, treinados e especializados para a função. os entrevistadores são acompanhados em campo por um coordenador, o qual tem como função controlar, verificar e fiscalizar in loco a aplicação dos questionários, cumprindo-se rigorosamente a estratificação disponibilizada no plano amostral. Após a realização das coletas (trabalho de campo), todos os questionários são tabulados e checados, submetendo-se, ao menos 30% dos formulários, a nova checagem, através de contato com o respondente para conferência .Todos os questionários serão assinados e identificados com o RG de cada pesquisador que o aplicou em campo.  ";"#NULO#"
